ID,ZZID,KFID,FLID,ZBID,ZBMC,HSID,HSMC,KPBH,KPBH_OLD,UHF,UHF1,UHF2,UHF3,MCGGID,WZMC,GGXH,ZXDW,KCID,KSID,KSMC,BGKSID,BGKSMC,BGRID,BGRXM,JBRID,JBRXM,CDID,CDMC,PPID,PPMC,GHDWID,GHDWMC,SCCJID,SCCJMC,GRTJ,GRRQ,ZT,SYRQ,JZRQ,DHAZRQ,DDXX,DDID,DDMC,DDJC,ZJYS,LJZJYS,SYYS,DJ,CZ_JE,ZC_JE,KY_JE,CZ_LJZJJE,ZC_LJZJJE,KY_LJZJJE,LJZJJE,JCZ,KJQJ,RKDMXID,RKD_DJHM,RKRQ,RKDMXID2,RKD_DJHM2,RKRQ2,CKDMXID,CKD_DJHM,CKRQ,CKDMXID2,CKD_DJHM2,CKRQ2,DBSRQ,BSDMXID,BSD_DJHM,BSRQ,JFLBID,JFLBMC,JFID,JFMC,SCBH,PM_PLAN_FLAG,PM_FLAG,WXBZ,TD_TDMJ,TD_ZH,TD_FZRQ,TD_LY,TD_CQXS,TD_SYFX,QC_CPH,QC_FZRQ,QC_ZH,QC_XH,QC_PQL,FW_JZJG,FW_JZMJ,FW_JGRQ,FW_SYRQ,LRRID,LRRXM,LRRQ,SHRID,SHRXM,SHRQ,SHBZ,BZ,TZXZ,ZFBZ,ZFSJ,ZFRID,ZFRXM,BXRQ,CCXLH,SCRQ,JLBZ,RFID_CODE,PRINT_COUNT,FACTORY_PHONE,KSKCID,BAR_CODE,IS_FIN_REPORT,FIN_CODE,FIN_NAME,FIN_REPORT_DATE,BFBZ,BFYY,QJBZ,XJBZ,BFSJ,QRBZ,GXBZ,GXSJ,ISBORROW,YSMXID,JYSYNX,ISXYFX,CZWZMC,CZGGXH,WZKWID,PTZC_JE,QT_JE1,QT_JE2,QT_JE3,PTZC_LJZJJE,QT_LJZJJE1,QT_LJZJJE2,QT_LJZJJE3,ZJFL_ITEM_ID,KJPZH,ZYLBBZ,QCKS,JLFL_ID,RENT_DJ,IS_RENT,ZCZH,BXDWID,BXDWMC,IS_HS,FSSB,TZSB,FXDJ,BQLX,BQDYSJ,BQZT,BQCC,BQYCZT,HTBH,ZSXB_FLAG,YSRQ,XZBZ,MSBZ,SJBZ,SBFLID,WZMC_OLD,GGXH_OLD,COST_CATEGORY_ID,COST_ZT,OLD_ZBID,OLD_HSID,XH,SBZT,FJMC,BAR_CODE_OLD,ISDWZC,ZJKPBH,BFYS,CGXYBH,SYDJBZ,ZDYBM,DAHM,XMBM,XMMC,LYFS,JJYT,BXQX,ZKBZ,SPLIT_ID,NWBFY,IP_ADDRESS,MAC_ADDRESS,GCJK,ZJLY_TZ,CZBM,XMMC1,XMBM1,JFLBMC1,XMMC2,XMBM2,JFLBMC2,XMMC3,XMBM3,JFLBMC3,XMMC4,XMBM4,JFLBMC4,XMMC5,XMBM5,JFLBMC5,YQSBBZ,YQSBFLDM,YQSBFLMC,IS_GD,FPHM,QCKSMC,JLFL_MC,SBFLMC,FFBH,NXSB_FLAG,BSJXM,FJBH,SXSJ,TEMP_ID,QRSH,QRSHRID,QRSHRMC,QRSHSJ,QXSHRID,QXSHRMC,QXSHSJ,SGMC,TZ_DR_BAK_ID,FJSBBH,FJSBMC,IS_RENT_YJ,PZPZDW,DWKJKM,SFGXGY,SYZRZT,XYSBFLID,XYSBFLMC,GKGLKSID,GKGLKSMC,DWSXID,DWSXMC,SBGL,XZGX,DCGLBZ,FSSBZH,PZZH,SBYT
1289,,1,,11,固定资产,1102,专用设备,1505032022031000682,,,,,,49,换药车,,台,1023,19,八病区,,,,,,,,,65600,栋方,,,26,杭州栋方医疗仪器有限公司,,,1,,2022/3/24 18:18,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,202203,,,,,,,5666,SBCS20220300067,2022/3/24 18:18,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,台账导入生成,1,0,,,,,,,,,,,1017,,,0,未分类【不折旧】,,,,,0,,,1,20:10.0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,1,-1,,,,0,,,0,,1,,1,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4332,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1290,,1,,11,固定资产,1102,专用设备,1505032019041000364,,1,,,,191,晨间护理车,,台,1024,19,八病区,,,,,,,,,,,,,,,,2019/4/16 0:00,1,2019/4/16 0:00,2022/3/24 18:18,,,7079114912,浙江求是心血管病医院-8F,2,120,39,81,2050,0,0,0,0,632.94,0,632.94,0,202203,,,,,,,5733,SBCS20220300067,2022/3/24 18:18,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,台账导入生成,0,0,,,,,,,,,1,,1018,91330000MA27U06H831505032019041000364,,3,专用设备,,,,,1,,,1,11:17.0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,,,,2022/4/20 0:00,1,2.4cm*8.5cm,,,,,0,,,,晨间护理车,,300,0,,,,0,,,0,,1,,1,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4035,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1291,,1,,11,固定资产,1102,专用设备,0805062019041000363,,1,,,,102,喉镜,69690,台,1025,14,放射科,,,,,,,,,65617,伟伦,,,,,,2019/4/16 0:00,1,2019/4/16 0:00,2022/3/24 18:18,,,7079114850,浙江求是心血管病医院-1F-CT室,3,120,39,81,2500,0,0,0,0,771.87,0,771.87,0,202203,,,,,,,5569,SBCS20220300064,2022/3/24 18:18,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,台账导入生成,0,0,,,,,,,,,1,,1019,91330000MA27U06H830805062019041000363,,3,专用设备,,,,,,,1,1,05:32.0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,,,,2022/4/20 0:00,1,2.4cm*8.5cm,,,,,0,,,,喉镜,,300,0,,,,0,,,0,,1,,1,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4100,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1292,,1,,11,固定资产,1102,专用设备,0803012019041000362,,1,,,,95,除颤监护仪,BeneHeart D2,台,1026,33,九病区,,,,,,,,,65615,迈瑞,,,42,深圳迈瑞生物医疗电子股份有限公司,,2019/4/17 0:00,1,2019/4/17 0:00,2022/3/24 18:18,,,7079114913,浙江求是心血管病医院-9F,2,120,39,81,35000,0,0,0,0,10806.24,0,10806.24,0,202203,,,,,,,5568,SBCS20220300064,2022/3/24 18:18,,,,,,,,,,,,EI-87001477,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,台账导入生成 由放射科转入设备库房【2022-04-26】 由设备库房转入九病区【2022-10-26】,0,0,,,,,,,1,,3,,1020,91330000MA27U06H830803012019041000362,,3,专用设备,,,,,1,,,1,11:59.0,,,,,,,,0,0,0,0,0,0,0,0,,,,,9651,,,,,,1,,,,,2025/9/19 0:00,1,2.4cm*8.5cm,,,0,,0,,,,除颤监护仪,,300,0,,,,0,,,0,,1,,1,,,,,,,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4038,0,,,,,,,,,,,2,,,,,,,,,,,,,0,,,
1293,,1,,11,固定资产,1102,专用设备,2301042022031000681,,,,,,40,除湿机,KC-40,台,1027,14,放射科,14,放射科,,,,,,,65602,老肯,,,28,老肯医疗科技股份有限公司,,,1,,2022/3/24 18:18,,CT扫描间,7079114850,浙江求是心血管病医院-1F-CT室,3,0,0,0,0,0,0,0,0,0,0,0,0,202203,,,,,,,5565,SBCS20220300064,2022/3/24 18:18,,,,,,,,,,,,8838270803,,0,0,,,,,,,,,,,,,,,,,,,,,,0,台账导入生成,1,0,,,,,,,,,,,1021,,,0,未分类【不折旧】,,,,,0,,1,1,20:10.0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,,,非抗金属标签,,0,,,,,,0,,,,,,1,-1,,,,0,,,0,,1,,1,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4318,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1294,,1,,11,固定资产,1102,专用设备,0703032022031000680,,,,,,7,电子血压计,HEM-7136,台,1028,14,放射科,14,放射科,,,,,,,65593,欧姆龙,,,17,欧姆龙健康医疗（中国）有限公司,,,1,,2022/3/24 18:18,,CT扫描间,7079114850,浙江求是心血管病医院-1F-CT室,3,0,0,0,0,0,0,0,0,0,0,0,0,202203,,,,,,,5566,SBCS20220300064,2022/3/24 18:18,,,,,,,,,,,,20180672341AF,,0,0,,,,,,,,,,,,,,,,,,,,,,0,台账导入生成,1,1,2022/10/14 8:18,122,张永强,,,,1,,,,1022,,,0,未分类【不折旧】,,,,,0,,1,1,20:10.0,,,,,,,,0,0,0,0,0,0,0,0,,,,,9651,,,,,,1,,,,非抗金属标签,,0,,,,,,0,,,,,,1,-1,,,,1,,,0,,1,,1,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4324,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1295,,1,,11,固定资产,1102,专用设备,0601072021121000361,,1,,,,81,移动式X射线机,MobiEye 700T,台,1029,14,放射科,,,,,,,,,65615,迈瑞,,,,,,2021/12/22 0:00,1,2021/12/22 0:00,2022/3/24 18:18,,,7079114866,浙江求是心血管病医院-1F-放射科,3,60,7,53,515000,0,0,0,0,57079.17,0,57079.17,0,202203,,,,,,,5570,SBCS20220300064,2022/3/24 18:18,,,,,,,,,,,,D2-12000478,,0,0,,,,,,,,,,,,,,,,,,,,,,0,台账导入生成,0,0,,,,,,,,,1,,1023,91330000MA27U06H830601072021121000361,,3,专用设备,,,,,1,,1,1,16:02.0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,,,,2022/4/20 0:00,1,2.4cm*8.5cm,,,,,0,,,,移动式X射线机,,300,0,,,,0,,,0,,1,,1,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4265,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1296,,1,,11,固定资产,1102,专用设备,1505032022031000679,,,,,,39,白蓝ABS护理车,,台,1030,14,放射科,,,,,,,,,7079114835,不详,,,67,不详,,,1,,2022/3/24 18:18,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,202203,,,,,,,5564,SBCS20220300064,2022/3/24 18:18,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,台账导入生成,1,0,,,,,,,,,,,1024,91330000MA27U06H831505032022031000679,,0,未分类【不折旧】,,,,,0,,1,1,20:10.0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,1,-1,,,,0,,,0,,1,,1,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4298,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1297,,1,,11,固定资产,1102,专用设备,1505032019041000360,,1,,,,105,抢救车,ET-85071A,台,1031,14,放射科,,,,,,,,,65597,乔安宸,,,,,,2019/4/17 0:00,1,2019/4/17 0:00,2022/3/24 18:18,,,7079114850,浙江求是心血管病医院-1F-CT室,3,120,39,81,2400,0,0,0,0,741,0,741,0,202203,,,,,,,5567,SBCS20220300064,2022/3/24 18:18,,,,,,,,,,,,2018033600004,,0,0,,,,,,,,,,,,,,,,,,,,,,0,台账导入生成,0,0,,,,,,,,,1,,1025,91330000MA27U06H831505032019041000360,,3,专用设备,,,,,,,1,1,05:32.0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,,,,2022/4/20 0:00,1,2.4cm*8.5cm,,,,,0,,,,抢救车,,300,0,,,,0,,,0,,1,,1,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4174,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1494,,1,,11,固定资产,1102,专用设备,2301042022031000529,,,,,,28,洗眼器,,台,1228,29,消毒供应中心,,,,,,,,,65601,山东新华,,,27,山东新华医疗器械股份有限公司,,,1,,2022/3/24 18:18,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,202203,,,,,,,5497,SBCS20220300061,2022/3/24 18:18,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,台账导入生成,1,0,,,,,,,,,,,1222,,,0,未分类【不折旧】,,,,,0,,,1,20:10.0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,1,-1,,,,0,,,0,,1,,1,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4572,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,
